group,name,version,license,optional,installScript,review,lockPath
development,@jridgewell/sourcemap-codec,1.5.5,MIT,false,false,permissive-or-public-domain,node_modules/@jridgewell/sourcemap-codec
development,@jridgewell/trace-mapping,0.3.31,MIT,false,false,permissive-or-public-domain,node_modules/@jridgewell/trace-mapping
development,@malept/cross-spawn-promise,2.0.0,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@malept/cross-spawn-promise
development,@malept/flatpak-bundler,0.4.0,MIT,false,false,permissive-or-public-domain,node_modules/@malept/flatpak-bundler
development,@malept/flatpak-bundler/node_modules/fs-extra,9.1.0,MIT,false,false,permissive-or-public-domain,node_modules/@malept/flatpak-bundler/node_modules/fs-extra
development,@malept/flatpak-bundler/node_modules/jsonfile,6.2.0,MIT,false,false,permissive-or-public-domain,node_modules/@malept/flatpak-bundler/node_modules/jsonfile
development,@malept/flatpak-bundler/node_modules/universalify,2.0.1,MIT,false,false,permissive-or-public-domain,node_modules/@malept/flatpak-bundler/node_modules/universalify
development,@npmcli/agent,3.0.0,ISC,false,false,permissive-or-public-domain,node_modules/@npmcli/agent
development,@npmcli/agent/node_modules/lru-cache,10.4.3,ISC,false,false,permissive-or-public-domain,node_modules/@npmcli/agent/node_modules/lru-cache
development,@npmcli/fs,4.0.0,ISC,false,false,permissive-or-public-domain,node_modules/@npmcli/fs
development,@npmcli/fs/node_modules/semver,7.7.4,ISC,false,false,permissive-or-public-domain,node_modules/@npmcli/fs/node_modules/semver
development,@pkgjs/parseargs,0.11.0,MIT,true,false,permissive-or-public-domain,node_modules/@pkgjs/parseargs
development,@playwright/test,1.58.2,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@playwright/test
development,@rolldown/pluginutils,1.0.0-rc.3,MIT,false,false,permissive-or-public-domain,node_modules/@rolldown/pluginutils
development,@rollup/rollup-android-arm-eabi,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-android-arm-eabi
development,@rollup/rollup-android-arm64,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-android-arm64
development,@rollup/rollup-darwin-arm64,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-darwin-arm64
development,@rollup/rollup-darwin-x64,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-darwin-x64
development,@rollup/rollup-freebsd-arm64,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-freebsd-arm64
development,@rollup/rollup-freebsd-x64,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-freebsd-x64
development,@rollup/rollup-linux-arm-gnueabihf,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-arm-gnueabihf
development,@rollup/rollup-linux-arm-musleabihf,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-arm-musleabihf
development,@rollup/rollup-linux-arm64-gnu,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-arm64-gnu
development,@rollup/rollup-linux-arm64-musl,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-arm64-musl
development,@rollup/rollup-linux-loong64-gnu,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-loong64-gnu
development,@rollup/rollup-linux-loong64-musl,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-loong64-musl
